Time,classroom,door_closed_on_arrival,windows_closed_on_arrival,persons_in_classroom,opened_windows_end_of_class,ac_on_during_class,during_class_door_state,during_class_window_state,ClassId,Humidity,Temperature,Particules 1,Particules 2.5,Particules 10,CO2,CO2_Velocity,CO2_Acceleration
2023-03-23 17:30:00,204.0,,,0.0,,,,,None,62.0,21.5,3.0,5.0,6.0,515.0,50.0,197.0
2023-03-23 17:35:00,204.0,,,0.0,,,,,None,62.0,21.5,3.0,5.0,6.0,476.0,-39.0,-89.0
2023-03-23 17:40:00,204.0,,,0.0,,,,,None,62.0,21.4,3.0,4.0,4.0,476.0,0.0,39.0
2023-03-23 17:45:00,204.0,,,0.0,,,,,None,62.0,21.3,2.0,3.0,5.0,530.0,54.0,54.0
2023-03-23 17:50:00,204.0,,,0.0,,,,,None,62.0,21.5,2.0,3.0,5.0,473.0,-57.0,-111.0
2023-03-23 17:55:00,204.0,,,0.0,,,,,None,62.0,21.5,2.0,3.0,4.0,473.0,0.0,57.0
2023-03-23 18:00:00,204.0,,,0.0,,,,,None,62.0,21.5,0.0,2.0,2.0,424.0,-49.0,-49.0
2023-03-23 18:05:00,204.0,,,0.0,,,,,None,61.0,21.5,2.0,2.0,2.0,413.0,-11.0,38.0
2023-03-23 18:10:00,204.0,,,0.0,,,,,None,61.0,21.5,1.0,3.0,3.0,413.0,0.0,11.0
2023-03-23 18:15:00,204.0,,,0.0,,,,,None,61.0,21.5,1.0,2.0,2.0,407.0,-6.0,-6.0
2023-03-23 18:20:00,204.0,,,0.0,,,,,None,61.0,21.5,2.0,3.0,6.0,406.0,-1.0,5.0
2023-03-23 18:25:00,204.0,,,0.0,,,,,None,61.0,21.4,0.0,2.0,5.0,406.0,0.0,1.0
2023-03-23 18:30:00,204.0,,,0.0,,,,,None,61.0,21.4,2.0,3.0,4.0,402.0,-4.0,-4.0
2023-03-23 18:35:00,204.0,,,0.0,,,,,None,61.0,21.4,3.0,4.0,6.0,401.0,-1.0,3.0
2023-03-23 18:40:00,204.0,,,0.0,,,,,None,61.0,21.3,1.0,3.0,3.0,401.0,0.0,1.0
2023-03-23 18:45:00,204.0,,,0.0,,,,,None,61.0,21.3,2.0,3.0,5.0,400.0,-1.0,-1.0
2023-03-23 18:50:00,204.0,,,0.0,,,,,None,61.0,21.3,3.0,5.0,5.0,403.0,3.0,4.0
2023-03-23 18:55:00,204.0,,,0.0,,,,,None,61.0,21.1,2.0,2.0,2.0,403.0,0.0,-3.0
2023-03-23 19:00:00,204.0,,,0.0,,,,,None,61.0,21.1,2.0,2.0,4.0,400.0,-3.0,-3.0
2023-03-23 19:05:00,204.0,,,0.0,,,,,None,61.0,21.1,1.0,2.0,4.0,400.0,0.0,3.0
2023-03-23 19:10:00,204.0,,,0.0,,,,,None,61.0,21.1,2.0,3.0,3.0,400.0,0.0,0.0
2023-03-23 19:15:00,204.0,,,0.0,,,,,None,61.0,21.1,1.0,3.0,3.0,401.0,1.0,1.0
2023-03-23 19:20:00,204.0,,,0.0,,,,,None,61.0,21.0,3.0,4.0,6.0,401.0,0.0,-1.0
2023-03-23 19:25:00,204.0,,,0.0,,,,,None,61.0,21.0,1.0,3.0,3.0,401.0,0.0,0.0
2023-03-23 19:30:00,204.0,,,0.0,,,,,None,61.0,21.0,2.0,4.0,5.0,403.0,2.0,2.0
2023-03-23 19:35:00,204.0,,,0.0,,,,,None,61.0,20.9,2.0,3.0,3.0,402.0,-1.0,-3.0
2023-03-23 19:40:00,204.0,,,0.0,,,,,None,61.0,20.9,3.0,4.0,7.0,402.0,0.0,1.0
2023-03-23 19:45:00,204.0,,,0.0,,,,,None,61.0,20.9,2.0,4.0,4.0,402.0,0.0,0.0
2023-03-23 19:50:00,204.0,,,0.0,,,,,None,61.0,20.8,2.0,3.0,3.0,402.0,0.0,0.0
2023-03-23 19:55:00,204.0,,,0.0,,,,,None,61.0,20.8,2.0,4.0,7.0,402.0,0.0,0.0
2023-03-23 20:00:00,204.0,,,0.0,,,,,None,61.0,20.8,2.0,3.0,3.0,400.0,-2.0,-2.0
2023-03-23 20:05:00,204.0,,,0.0,,,,,None,61.0,20.7,2.0,2.0,3.0,403.0,3.0,5.0
2023-03-23 20:10:00,204.0,,,0.0,,,,,None,61.0,20.7,3.0,5.0,6.0,403.0,0.0,-3.0
2023-03-23 20:15:00,204.0,,,0.0,,,,,None,61.0,20.7,2.0,4.0,9.0,403.0,0.0,0.0
2023-03-23 20:20:00,204.0,,,0.0,,,,,None,61.0,20.7,2.0,4.0,4.0,402.0,-1.0,-1.0
2023-03-23 20:25:00,204.0,,,0.0,,,,,None,61.0,20.7,2.0,3.0,4.0,402.0,0.0,1.0
