Time,classroom,door_closed_on_arrival,windows_closed_on_arrival,persons_in_classroom,opened_windows_end_of_class,ac_on_during_class,during_class_door_state,during_class_window_state,ClassId,Humidity,Temperature,Particules 1,Particules 2.5,Particules 10,CO2,CO2_Velocity,CO2_Acceleration
2023-03-23 17:30:00,106.0,,,0.0,,,,,None,60.5,21.8,2.0,4.0,4.0,666.0,0.0,0.0
2023-03-23 17:35:00,106.0,,,0.0,,,,,None,60.5,21.8,2.0,4.0,4.0,515.0,-151.0,-151.0
2023-03-23 17:40:00,106.0,,,0.0,,,,,None,60.5,21.8,2.0,4.0,4.0,538.0,23.0,174.0
2023-03-23 17:45:00,106.0,,,0.0,,,,,None,61.0,21.6,1.0,2.0,2.0,426.0,-112.0,-135.0
2023-03-23 17:50:00,106.0,,,0.0,,,,,None,61.0,21.8,1.0,2.0,2.0,522.0,96.0,208.0
2023-03-23 17:55:00,106.0,,,0.0,,,,,None,61.0,21.8,1.0,2.0,5.0,522.0,0.0,-96.0
2023-03-23 18:00:00,106.0,,,0.0,,,,,None,60.0,21.9,1.0,3.0,3.0,515.0,-7.0,-7.0
2023-03-23 18:05:00,106.0,,,0.0,,,,,None,62.0,21.9,3.0,4.0,4.0,501.0,-14.0,-7.0
2023-03-23 18:10:00,106.0,,,0.0,,,,,None,62.0,21.9,1.0,3.0,3.0,501.0,0.0,14.0
2023-03-23 18:15:00,106.0,,,0.0,,,,,None,62.0,22.0,1.0,3.0,3.0,490.0,-11.0,-11.0
2023-03-23 18:20:00,106.0,,,0.0,,,,,None,62.0,22.0,2.0,4.0,6.0,478.0,-12.0,-1.0
2023-03-23 18:25:00,106.0,,,0.0,,,,,None,62.0,22.0,2.0,3.0,3.0,478.0,0.0,12.0
2023-03-23 18:30:00,106.0,,,0.0,,,,,None,60.5,21.9,1.0,2.0,2.0,462.0,-16.0,-16.0
2023-03-23 18:35:00,106.0,,,0.0,,,,,None,60.5,21.9,2.0,4.0,4.0,447.0,-15.0,1.0
2023-03-23 18:40:00,106.0,,,0.0,,,,,None,60.5,21.9,2.0,3.0,3.0,447.0,0.0,15.0
2023-03-23 18:45:00,106.0,,,0.0,,,,,None,61.5,21.8,1.0,2.0,2.0,436.0,-11.0,-11.0
2023-03-23 18:50:00,106.0,,,0.0,,,,,None,61.5,21.8,1.0,4.0,4.0,426.0,-10.0,1.0
2023-03-23 18:55:00,106.0,,,0.0,,,,,None,61.5,21.8,2.0,4.0,4.0,426.0,0.0,10.0
2023-03-23 19:00:00,106.0,,,0.0,,,,,None,61.0,21.7,2.0,3.0,4.0,414.0,-12.0,-12.0
2023-03-23 19:05:00,106.0,,,0.0,,,,,None,61.0,21.7,1.0,3.0,3.0,409.0,-5.0,7.0
2023-03-23 19:10:00,106.0,,,0.0,,,,,None,61.0,21.7,1.0,3.0,3.0,409.0,0.0,5.0
2023-03-23 19:15:00,106.0,,,0.0,,,,,None,61.0,21.6,1.0,2.0,2.0,405.0,-4.0,-4.0
2023-03-23 19:20:00,106.0,,,0.0,,,,,None,61.0,21.6,2.0,3.0,3.0,403.0,-2.0,2.0
2023-03-23 19:25:00,106.0,,,0.0,,,,,None,61.0,21.6,1.0,3.0,4.0,403.0,0.0,2.0
2023-03-23 19:30:00,106.0,,,0.0,,,,,None,61.0,21.5,2.0,3.0,3.0,400.0,-3.0,-3.0
2023-03-23 19:35:00,106.0,,,0.0,,,,,None,61.0,21.5,2.0,4.0,4.0,404.0,4.0,7.0
2023-03-23 19:40:00,106.0,,,0.0,,,,,None,61.0,21.5,2.0,3.0,3.0,404.0,0.0,-4.0
2023-03-23 19:45:00,106.0,,,0.0,,,,,None,61.0,21.5,2.0,4.0,4.0,402.0,-2.0,-2.0
2023-03-23 19:50:00,106.0,,,0.0,,,,,None,61.0,21.4,2.0,3.0,3.0,403.0,1.0,3.0
2023-03-23 19:55:00,106.0,,,0.0,,,,,None,61.0,21.4,1.0,2.0,2.0,403.0,0.0,-1.0
2023-03-23 20:00:00,106.0,,,0.0,,,,,None,61.0,21.4,2.0,4.0,4.0,400.0,-3.0,-3.0
2023-03-23 20:05:00,106.0,,,0.0,,,,,None,61.0,21.4,1.0,2.0,3.0,403.0,3.0,6.0
